Successfully loaded Excel file: hochma_db_final_corrected.xlsx

--- Missing Chapters ---
No missing chapters found based on the hardcoded Bible structure.

--- Incomplete Chapters (Verse Count Mismatch) ---
레위기 14장: 절 범위: 1-57 (총 57개 절)
레위기 15장: 절 범위: 1-33 (총 33개 절)
레위기 16장: 절 범위: 1-8 (총 8개 절)
레위기 17장: 절 범위: 1-16 (총 16개 절)
레위기 18장: 절 범위: 1-30 (총 30개 절)
레위기 19장: 절 범위: 1-37 (총 37개 절)
레위기 20장: 절 범위: 1-27 (총 27개 절)
레위기 21장: 절 범위: 1-23 (총 23개 절)
레위기 22장: 절 범위: 1-33 (총 33개 절)
레위기 23장: 절 범위: 1-44 (총 44개 절)
레위기 24장: 절 범위: 1-20 (총 20개 절)
레위기 25장: 절 범위: 1-14 (총 14개 절)
레위기 26장: 절 범위: 1-46 (총 46개 절)
레위기 27장: 절 범위: 1-3 (총 3개 절)
민수기 1장: 절 범위: 1-5 (총 5개 절)
민수기 2장: 절 범위: 1-7 (총 7개 절)
민수기 3장: 절 범위: 1-51 (총 51개 절)
민수기 4장: 절 범위: 1-49 (총 49개 절)
민수기 5장: 절 범위: 1-31 (총 31개 절)
민수기 6장: 절 범위: 1-27 (총 27개 절)
민수기 7장: 절 범위: 1-3 (총 3개 절)
민수기 8장: 절 범위: 1-19 (총 19개 절)
민수기 9장: 절 범위: 1-3 (총 3개 절)
민수기 10장: 절 범위: 1-32 (총 32개 절)
민수기 11장: 절 범위: 1-35 (총 35개 절)
민수기 12장: 절 범위: 1-16 (총 16개 절)
민수기 13장: 절 범위: 1-14 (총 14개 절)
민수기 14장: 절 범위: 1-45 (총 45개 절)
민수기 15장: 절 범위: 1-41 (총 41개 절)
민수기 16장: 절 범위: 1-22 (총 22개 절)
민수기 17장: 절 범위: 1-1 (총 1개 절)
민수기 18장: 절 범위: 1-24 (총 24개 절)
민수기 19장: 절 범위: 1-22 (총 22개 절)
민수기 20장: 절 범위: 1-6 (총 6개 절)
민수기 21장: 절 범위: 1-31 (총 31개 절)
민수기 22장: 절 범위: 1-9 (총 9개 절)
민수기 23장: 절 범위: 1-30 (총 30개 절)
민수기 24장: 절 범위: 1-15 (총 15개 절)
민수기 25장: 절 범위: 1-9 (총 9개 절)
민수기 26장: 절 범위: 1-5 (총 5개 절)
민수기 27장: 절 범위: 1-23 (총 23개 절)
민수기 28장: 절 범위: 1-11 (총 11개 절)
민수기 29장: 절 범위: 1-40 (총 40개 절)
민수기 30장: 절 범위: 1-16 (총 16개 절)
민수기 31장: 절 범위: 1-54 (총 54개 절)
민수기 32장: 절 범위: 1-42 (총 42개 절)
민수기 33장: 절 범위: 1-18 (총 18개 절)
민수기 34장: 절 범위: 1-29 (총 29개 절)
민수기 35장: 절 범위: 1-34 (총 34개 절)
민수기 36장: 절 범위: 1-13 (총 13개 절)
신명기 1장: 절 범위: 1-46 (총 46개 절)
신명기 2장: 절 범위: 1-34 (총 34개 절)
신명기 3장: 절 범위: 1-5 (총 5개 절)
신명기 4장: 절 범위: 1-15 (총 15개 절)
신명기 5장: 절 범위: 1-33 (총 33개 절)
신명기 6장: 절 범위: 1-25 (총 25개 절)
신명기 7장: 절 범위: 1-6 (총 6개 절)
